neutral_take,style_take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
1,Disagreement33,0.817168505274758,0.1737784656201636,-1.7499739770486367,49162,37951,35593,2358,13569
2,Disagreement33,0.7738700892951383,0.0641764355255315,-2.7461191835537035,56791,37951,36659,1292,20132
3,Disagreement33,0.7765775770846648,0.04355272816246636,-3.133782933272192,57496,37951,37061,890,20435
4,Disagreement33,0.7213237172558806,0.04591215842460449,-3.0810253075677125,63823,37951,36706,1245,27117
0,Disagreement34,0.8709162469380453,3.2929061784897025,1.1917705117917776,33828,38838,31643,7195,2185
1,Disagreement34,0.8474090909090909,0.13068373189626137,-2.0349751351404866,49162,38838,37286,1552,11876
2,Disagreement34,0.7906388229511968,0.05445831358297783,-2.9103197583750404,56791,38838,37804,1034,18987
3,Disagreement34,0.7808250461934519,0.0617519863220356,-2.784629136832931,57496,38838,37610,1228,19886
4,Disagreement34,0.7318455888799057,0.04844422439730357,-3.0273421552371333,63823,38838,37566,1272,26257
0,Flirty35,0.720940408472191,6.0501942037645655,1.8000903713233587,33828,50731,30481,20250,3347
1,Flirty35,0.8699508474067252,1.2747329714585887,0.24273672252586873,49162,50731,43451,7280,5711
2,Flirty35,0.8162050557095292,0.5306327937417706,-0.6336850341718194,56791,50731,43880,6851,12911
3,Flirty35,0.82774169107524,0.4674905541561713,-0.7603761354710568,57496,50731,44792,5939,12704
4,Flirty35,0.7743771496412173,0.32754635574503055,-1.1161256896636387,63823,50731,44354,6377,19469
0,Flirty36,0.702398957295855,3.5960881124192934,1.2798466192066502,33828,47499,28562,18937,5266
1,Flirty36,0.831441843142529,0.8147694364000891,-0.2048501058876527,49162,47499,40184,7315,8978
2,Flirty36,0.7820308754434749,0.4196852360729453,-0.868250286595269,56791,47499,40779,6720,16012
3,Flirty36,0.7811610076670318,0.3936434766785953,-0.9323096608630428,57496,47499,41009,6490,16487
4,Flirty36,0.72923591024236,0.2973787285326906,-1.212748772286493,63823,47499,40590,6909,23233
0,Flirty37,0.6725418154723671,2.331155253528489,0.8463639616660091,33828,44014,26176,17838,7652
1,Flirty37,0.8097578775650383,0.5498819620529859,-0.5980516382377135,49162,44014,37725,6289,11437
2,Flirty37,0.7686523485938197,0.2920937448058064,-1.2306804843819052,56791,44014,38742,5272,18049
3,Flirty37,0.7712934686237809,0.26524606245571963,-1.3270973462514994,57496,44014,39147,4867,18349
4,Flirty37,0.7132987750030139,0.21898040452627843,-1.5187730302179032,63823,44014,38460,5554,25363
0,Pensive38,0.7391561936695618,3.589265912619206,1.2779477004264972,33828,45503,29319,16184,4509
1,Pensive38,0.8660222891248085,0.5521967935381227,-0.5938507862068125,49162,45503,40991,4512,8171
2,Pensive38,0.8339101022542866,0.20164085154537095,-1.6012671266791685,56791,45503,42652,2851,14139
3,Pensive38,0.8147069389023195,0.2282000128708411,-1.477532785152581,57496,45503,41957,3546,15539
4,Pensive38,0.7844245650622907,0.1252864782276547,-2.0771523380857015,63823,45503,42879,2624,20944
0,Pensive39,0.7399816712488545,6.970448741335279,1.9416796045271678,33828,50193,31087,19106,2741
1,Pensive39,0.870917417341855,1.174834661692386,0.16112742424176693,49162,50193,43265,6928,5897
2,Pensive39,0.8467247438869364,0.42616107149069404,-0.8529379020845183,56791,50193,45293,4900,11498
3,Pensive39,0.8435587664478266,0.39519668737060043,-0.9283716953029667,57496,50193,45421,4772,12075
4,Pensive39,0.8010103845074376,0.2494080070488463,-1.388665141003583,63823,50193,45664,4529,18159
0,Pensive40,0.7005649717514124,4.003646677471637,1.3872056151696843,33828,48654,28892,19762,4936
1,Pensive40,0.8288623538071481,0.9410946196660482,-0.06071159220307303,49162,48654,40538,8116,8624
2,Pensive40,0.8146996064298924,0.41198150021679436,-0.8867768330271745,56791,48654,42953,5701,13838
3,Pensive40,0.8243994347621291,0.3565242704315552,-1.0313529616931996,57496,48654,43755,4899,13741
4,Pensive40,0.7678725428309788,0.2650322205533214,-1.3279038733933486,63823,48654,43184,5470,20639
0,Scared41,0.5975889429857373,2.4671386306001692,0.9030590299692752,33828,47713,24364,23349,9464
1,Scared41,0.7442993548387097,0.8894736842105263,-0.11712535723741269,49162,47713,36052,11661,13110
2,Scared41,0.7091211819643267,0.540074982267707,-0.6160472930121169,56791,47713,37053,10660,19738
3,Scared41,0.7218583961448165,0.49889873482559033,-0.6953521400462215,57496,47713,37973,9740,19523
